requested_amount,term_months,annual_revenue,existing_debt,defaulted
380794.72,36,1656640.76,1015057.03,0
951207.16,12,1533959.86,906260.39,0
734674.0,48,1224751.71,466140.2,1
602671.9,60,2569094.1,690267.09,0
164458.45,24,553530.28,125222.15,0
164434.58,24,579383.99,314886.14,1
67502.78,24,113678.33,87241.67,0
867514.38,60,2076480.95,965239.24,1
605103.86,6,2259603.08,1649558.16,0
710991.85,60,3204537.4,36478.84,0
30378.65,6,143066.49,90929.7,0
970210.75,24,3154609.44,2154226.4,1
834118.21,36,2843642.28,1435456.6,1
220215.72,36,972400.77,726625.31,1
190006.72,6,642543.08,634086.89,1
191570.46,24,112823.94,21710.66,1
311199.82,60,1452616.69,250683.56,0
529508.87,36,2258230.64,1004165.19,0
437625.57,6,2048855.19,1485803.44,0
298316.85,60,675348.98,688788.35,0
615734.37,24,2053667.59,992973.77,0
148098.92,12,658840.62,546268.59,1
299223.2,24,565237.83,52183.69,0
372698.22,24,1595639.43,149057.86,0
461509.28,60,987817.62,289334.15,0
787324.2,60,3407866.38,3003379.36,0
207677.04,48,756360.46,119997.59,0
519092.09,48,1129713.6,179574.01,0
596490.42,60,1882964.95,196836.17,0
55985.91,60,217598.65,106336.81,0
611469.4,12,2273739.89,1251694.91,0
178818.88,12,535627.85,301209.78,1
74401.08,24,345800.06,147270.43,1
949396.68,36,3149549.39,2400980.29,0
965975.71,12,3159257.9,2225464.11,1
810313.37,24,1392018.75,1066432.4,0
311567.63,6,1472911.47,458129.06,1
106695.39,48,226184.41,158832.69,0
687390.7,36,2302213.35,1405040.25,1
445750.97,24,1922295.09,522822.59,0
130817.85,60,294874.75,25145.33,0
500225.14,6,1673656.53,913978.81,0
44044.64,48,103170.04,11262.23,0
910227.2,6,3785573.48,5373209.31,1
266192.18,24,925069.49,969721.65,1
665897.06,12,2993816.92,1628355.07,0
318593.97,48,1475393.7,1093240.36,1
524867.34,6,1979047.57,939240.22,1
551243.18,12,344969.72,390449.48,1
193005.91,36,660518.4,163815.88,0
969888.78,24,2759819.07,2432255.5,1
777381.5,24,2929494.34,1026002.94,0
940103.95,48,4398755.95,3015544.91,0
895879.08,6,2650351.95,832105.59,1
601920.98,36,1565256.44,586372.64,1
922655.49,60,2638360.39,913057.92,0
97607.58,48,295154.75,191525.41,0
204023.03,60,358563.05,273569.03,0
54775.02,48,177720.1,46530.86,0
332077.03,6,1072641.97,407627.89,0
394790.52,36,1405277.94,793618.09,1
278635.54,6,771784.25,552833.15,0
830450.13,24,3027718.68,1195829.46,0
363185.79,60,1661123.58,144708.46,0
288125.16,12,1395721.05,411649.93,0
547269.12,24,1938778.98,2647929.9,0
149514.98,24,246560.42,82356.03,0
804175.01,60,3934286.3,5737431.58,1
83805.14,48,332749.75,9846.6,0
987018.07,24,2641134.78,1452431.15,0
774522.32,36,1560702.71,1239494.1,0
206728.52,24,413863.29,304340.71,1
15466.9,36,32281.05,17645.36,0
817306.81,6,1356323.78,913109.51,1
709788.77,48,84391.89,17265.07,1
731717.1,36,2482488.42,1236149.02,0
773557.64,24,3055442.79,148138.17,0
83304.21,48,366403.55,207291.76,0
364881.07,48,1558185.76,1208993.01,0
124710.37,36,71975.25,49564.88,1
864472.39,36,4223285.79,1805677.24,0
627065.15,12,1904238.31,1201559.47,0
337589.04,12,1629263.49,1230287.9,0
72922.77,48,293989.23,50805.47,0
317872.5,60,555430.91,352480.24,0
331931.49,60,1289965.74,278474.66,1
732310.12,12,2858578.64,2005458.54,1
641181.9,24,2994647.74,235629.68,0
888340.62,6,2492028.6,355300.32,1
477492.78,48,1693757.73,976439.76,0
128398.3,6,198074.46,234710.75,1
716112.34,12,1906479.64,241061.85,0
763177.2,36,1311026.27,582585.33,0
565664.43,48,1881714.07,1256965.79,0
773257.51,12,3372227.64,724266.62,1
498857.64,24,1108735.76,746079.99,0
527505.5,48,1765056.43,1140866.67,1
433265.61,48,959263.16,444411.58,0
35164.94,60,67601.42,34966.85,0
116812.51,36,384136.63,12427.95,0
41114.89,48,73061.99,21458.92,0
640046.31,36,2275839.04,3105619.87,1
321212.42,12,517049.57,763382.91,1
513484.98,24,962015.34,299886.6,1
908490.81,24,3111573.03,883448.26,0
256799.31,48,916754.52,1158100.05,1
416279.09,48,666651.92,318977.66,0
757995.63,12,2658153.29,1941727.96,0
236510.18,60,1048865.61,122010.41,0
86210.11,60,347263.51,16598.81,0
296853.94,60,581580.76,248734.08,0
169609.07,36,127511.52,104.78,0
930400.68,60,3584725.66,2259005.05,1
810039.18,24,1320614.33,534556.04,1
637069.72,36,73624.85,28747.0,1
872745.98,12,4077413.27,1182436.73,0
805635.36,24,3606493.52,4541969.9,1
194704.36,24,854014.24,294555.44,0
893633.41,6,3670490.38,47077.25,0
543948.82,12,2021864.35,135134.6,0
809365.75,12,3136449.72,1267246.18,0
897130.39,6,3877741.62,465708.28,0
324823.44,36,1240417.76,772792.78,0
118951.41,60,314869.66,69141.64,0
235655.81,60,663574.68,51970.98,0
432836.71,60,2008232.98,2318116.46,1
819834.62,60,1278882.41,365349.32,0
862123.28,60,3401828.14,3387187.0,1
16882.61,6,81740.89,9264.55,1
515639.83,12,2048017.55,530595.07,0
423236.89,36,2107166.1,523387.14,0
229886.73,24,898031.17,575017.76,0
128666.71,60,208474.89,239727.26,1
344239.02,6,1512770.28,234078.33,1
943480.61,36,2355120.73,233514.71,0
329970.9,36,1010107.01,512457.58,1
523602.72,36,1357346.7,873722.5,0
705988.77,6,1722569.8,1328064.24,0
369993.31,24,1113650.25,6054.95,0
972064.26,60,2746694.0,908997.75,0
962822.82,36,3578509.17,2101265.76,1
259264.47,6,1126770.96,746877.25,1
502276.02,12,1275685.8,63565.84,1
307869.53,6,107680.82,58631.3,0
291992.09,6,1119536.64,258781.98,0
46518.08,6,178914.13,10677.16,0
613468.69,36,2855058.34,1117133.12,0
507652.23,6,789810.37,99928.92,1
60963.96,12,273462.52,161235.15,0
285860.0,36,950057.88,563393.29,0
909183.23,12,3340845.89,2250574.91,1
247166.27,48,449793.19,135862.26,1
153445.92,6,462509.37,4924.72,1
494558.23,60,1135287.31,1007364.63,0
985793.95,60,2355838.16,881670.92,0
249634.72,36,814890.83,452434.74,0
675414.19,60,2933726.26,896642.0,0
764003.42,36,3134884.24,1344359.73,0
245261.17,6,875214.45,367074.45,0
730934.19,24,2476378.48,326846.99,1
374105.3,24,1120659.04,558580.84,0
635982.77,12,3119167.9,1096079.91,0
637194.41,6,328168.62,212106.85,1
540416.94,60,1290992.51,713259.12,0
99386.87,6,229118.32,20431.71,0
836949.47,48,3046274.79,1191113.94,1
327572.26,24,1090781.67,613014.38,0
194653.33,60,297224.41,20689.61,0
50367.39,24,221879.88,140671.32,0
594984.01,6,2358771.41,418926.32,0
680788.72,60,2598163.78,1045677.36,0
26421.95,12,45993.54,34607.79,1
516972.13,6,1430562.94,653863.67,0
234230.82,12,1118179.97,379335.36,1
648721.06,60,356501.95,1937.92,0
182622.76,24,456447.38,48717.04,0
694028.36,48,1422554.16,2117232.15,1
392867.99,36,1206814.98,476764.37,0
937362.69,24,2573441.46,749034.47,1
146145.73,12,568184.25,419645.38,1
347655.69,6,1697436.5,451494.4,0
122338.79,60,338940.24,145649.61,0
925446.68,24,1589718.06,723275.18,0
878565.96,48,4077994.84,1720810.7,0
265362.21,60,433289.8,165546.3,0
663384.21,12,3207250.8,864838.35,0
819049.98,60,3133708.16,2278240.01,0
559648.8,60,2684026.52,967974.33,0
534354.07,6,1174942.49,496717.62,0
249433.77,36,409682.32,215157.94,1
102171.74,12,327842.03,17744.4,0
898243.6,6,2764058.99,1727621.21,0
901413.88,36,2397961.9,983178.4,1
636770.44,6,3089481.33,4286467.2,1
345639.49,36,1513570.21,934795.57,0
355717.48,36,1357253.23,949099.38,1
728696.12,36,1508403.9,2187067.13,1
898139.16,6,3655544.87,2372974.71,0
888215.56,60,3592426.55,743882.03,1
782076.79,36,2336641.02,1234373.9,0
645611.33,60,3058099.91,251271.35,0
93298.57,12,194473.65,3116.32,1
170012.43,48,414096.13,479022.81,1
899568.65,60,1548414.19,395629.1,0
610364.77,48,2614850.5,65046.21,0
19105.08,36,70233.29,35425.18,0
110456.83,48,287440.82,72790.26,0
666866.75,48,1382646.72,814518.36,0
15010.97,36,11422.49,419.57,1
169199.97,60,352546.66,61117.93,0
553246.45,36,1707593.1,557363.07,0
694976.25,12,1643701.81,503172.05,1
655441.65,24,93161.74,9763.25,0
232026.62,6,1059089.52,842303.9,0
715057.43,36,2361821.72,537436.46,0
244876.6,36,992333.5,572403.43,0
332145.7,48,539732.88,95004.51,0
749026.49,12,2080849.33,1461340.88,1
653136.57,48,2075075.44,643702.2,0
850731.18,60,1831163.98,1319760.15,0
661036.76,36,1269633.73,347204.12,0
572625.52,36,2603191.82,18001.22,0
102738.02,48,491910.74,203462.32,0
374038.65,36,664226.6,278862.49,0
272550.34,60,741763.6,71110.91,0
251549.75,24,1221022.41,229516.63,0
973280.45,6,1743209.59,1092637.62,1
399166.75,6,1497970.95,44047.33,0
893126.09,6,4378796.09,1714830.03,1
634827.24,24,3125751.47,1326339.18,0
796863.19,36,2509546.63,1382684.02,1
507610.72,48,1050562.25,31480.11,0
581134.85,12,106392.05,49846.49,0
497592.52,36,2295695.28,2232949.12,1
203290.56,24,953613.76,202302.19,0
725227.59,60,2630820.2,1051663.55,0
287964.64,24,1204157.95,877861.33,0
34072.81,6,139349.59,169805.27,1
649017.57,36,2476894.81,335449.09,0
185339.57,6,814654.4,436166.01,0
941054.0,12,3669097.25,1100323.21,1
954389.29,60,3215345.22,1603612.02,0
915715.75,6,2133019.98,1702071.73,0
376457.11,12,1544832.6,1620663.74,1
25302.05,24,79879.4,22603.54,1
929035.38,6,505426.95,203757.96,1
433902.31,6,1868735.66,1352501.41,0
966988.27,48,3808480.98,280815.03,0
963983.78,60,4608506.14,1667556.25,0
854479.36,60,1776501.67,536613.43,0
301504.4,24,1137323.59,268301.71,0
391246.75,48,921322.77,732786.38,1
852625.3,12,3975399.95,5666612.27,1
323752.79,12,598375.43,186093.32,1
177797.82,24,675021.22,447685.89,0
561233.25,60,412384.55,161544.59,0
936793.23,12,2568886.05,1793749.17,1
699069.5,24,3383135.16,720959.22,0
574360.56,12,2571732.37,460031.95,0
106204.73,36,268821.59,53180.8,0
618857.15,6,944619.73,406927.5,0
990153.31,60,2513306.26,585727.82,0
148683.18,36,369416.24,367109.52,0
523146.36,24,2414255.65,1921028.86,0
878599.34,24,4291891.11,3091649.09,1
743360.93,36,1298309.56,659554.17,0
700045.58,6,2204815.89,1572550.32,1
705459.24,6,2412079.42,2116954.55,1
365896.24,48,667830.46,361220.57,0
300655.93,12,848223.13,351964.95,1
811267.54,48,2117236.66,1493925.22,1
812012.26,6,2741513.55,1245298.53,0
868401.6,36,3312229.72,335994.02,0
914108.15,12,3621877.38,1062965.96,0
516228.97,36,1021432.62,874029.32,0
506501.13,48,2200907.95,1646928.88,0
800312.23,24,3101127.54,1635374.58,1
653464.29,36,3013621.92,2110204.52,0
704947.21,48,2166074.52,1312800.06,0
797834.74,48,3692869.18,915420.57,0
891105.29,48,4036893.59,2321081.38,0
344615.21,24,1045711.65,163381.77,0
381827.12,24,1082098.67,353323.23,0
103042.12,24,490979.43,316619.62,1
582497.34,12,2331781.45,1141508.05,0
45582.85,24,216466.51,142939.33,0
470942.04,24,2020064.31,411614.09,0
547218.19,24,1987792.53,1192276.1,0
293675.84,36,559594.83,90575.73,1
594924.93,24,1499319.31,654068.06,0
40195.25,12,196592.89,68183.86,0
46974.71,48,122978.73,54747.76,0
824374.56,36,1505631.14,163250.67,1
366588.73,6,1457716.9,421254.38,0
135789.91,24,552531.17,576257.82,1
527020.83,48,90366.79,40378.11,1
772293.62,48,1963056.03,862126.72,0
223662.82,36,702552.98,287108.17,0
626661.57,6,987782.4,745882.32,1
94493.99,60,402792.97,301150.48,0
61164.9,12,159628.81,45991.61,0
536041.09,60,2405844.0,677283.6,0
